CAS Number,Chemical Name,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age Mean Op,Organism Age Mean,Organism Age Min Op,Organism Age Min,Organism Age Max Op,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration Mean Op (Days),Observed Duration Mean (Days),Observed Duration Min Op (Days),Observed Duration Min (Days),Observed Duration Max Op (Days),Observed Duration Max (Days),Observed Duration Units (Days),Exposure Duration Mean Op (Author),Exposure Duration Mean (Author),Exposure Duration Min Op (Author),Exposure Duration Min (Author),Exposure Duration Max Op (Author),Exposure Duration Max (Author),Exposure Duration Units (Author),Exposure Duration Mean Op (Days),Exposure Duration Mean (Days),Exposure Duration Min Op (Days),Exposure Duration Min (Days),Exposure Duration Max Op (Days),Exposure Duration Max (Days),Exposure Duration Units (Days),Author,Reference Number,Title,Source,Publication Year
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,5.1,,4,,6,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,0.76,,0.53,,0.99,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Bufo americanus,American Toad,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,4.3,,0,,7.5,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates pipiens,Leopard Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,13.1,,12.8,,13.3,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,1.1,,0.75,,1.5,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,4,,3.1,,4.7,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates pipiens,Leopard Frog,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,1.1,,1,,1.3,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,1721.8,,1131.2,,2318.7,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates sylvaticus,Wood Frog,Amphibians; Standard Test Species,Tadpole,,,,,,,,Static,Fresh water,Lab,9,Active ingredient,,0.9,,0.84,,0.97,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Edge,C., M. Gahl, D. Thompson, C. Hao, and J. Houlahan",173391,Variation in Amphibian Response to Two Formulations of Glyphosate-Based Herbicides,Environ. Toxicol. Chem.33(11): 2628-2632,2014
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Bufo americanus,American Toad,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,2.1,,1.8,,3.9,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,0.85,,0.55,,0.87,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,240.6,,72,,422,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,5.4,,3.8,,6.8,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,1.99,,1.7,,2,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates sylvaticus,Wood Frog,Amphibians; Standard Test Species,Tadpole,,,,,,,,Static,Fresh water,Lab,9,Active ingredient,,0.018,,0,,0.77,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Edge,C., M. Gahl, D. Thompson, C. Hao, and J. Houlahan",173391,Variation in Amphibian Response to Two Formulations of Glyphosate-Based Herbicides,Environ. Toxicol. Chem.33(11): 2628-2632,2014
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates pipiens,Leopard Frog,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,0.83,,0.71,,0.92,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,6.2,,4.7,,7.4,ae mg/L,Mortality,Mortality,LC10,,,25,,,,,Gosner stage,,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Blastula,,,,,,,,Renewal,Fresh water,Lab,5,Active ingredient,,5867.2,,5481.2,,6164.6,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Perkins,P.J., H.J. Boermans, and G.R. Stephenson",53090,Toxicity of Glyphosate and Triclopyr Using the Frog Embryo Teratogenesis Assay - Xenopus,Environ. Toxicol. Chem.19(4): 940-945,2000
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,3023.4,,2758.7,,3250.9,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Bufo americanus,American Toad,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,1.2,,1,,1.4,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates sylvaticus,Wood Frog,Amphibians; Standard Test Species,Tadpole,,,,,,,,Static,Fresh water,Lab,9,Active ingredient,,0.73,,0.64,,0.83,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Edge,C., M. Gahl, D. Thompson, C. Hao, and J. Houlahan",173391,Variation in Amphibian Response to Two Formulations of Glyphosate-Based Herbicides,Environ. Toxicol. Chem.33(11): 2628-2632,2014
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates sylvaticus,Wood Frog,Amphibians; Standard Test Species,Tadpole,,,,,,,,Static,Fresh water,Lab,5,Active ingredient,,0.41,,0.34,,0.49,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Edge,C., M. Gahl, D. Thompson, C. Hao, and J. Houlahan",173391,Variation in Amphibian Response to Two Formulations of Glyphosate-Based Herbicides,Environ. Toxicol. Chem.33(11): 2628-2632,2014
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,3,Active ingredient,,1.4,,,,,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,1.8,,1.5,,2.1,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates pipiens,Leopard Frog,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Lentic ,Fresh water,Field artificial,6,Active ingredient,,7.31,,3.83,,9.54,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Wojtaszek,B.F., B. Staznik, D.T. Chartrand, G.R. Stephenson, and D.G. Thompson",75187,"Effects of Vision Herbicide on Mortality, Avoidance Response, and Growth of Amphibian Larvae in Two Forest Wetlands",Environ. Toxicol. Chem.23(4): 832-842,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates pipiens,Leopard Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,6.7,,6.3,,6.9,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates sylvaticus,Wood Frog,Amphibians; Standard Test Species,Tadpole,,,,,,,,Static,Fresh water,Lab,9,Active ingredient,,0.38,,0.31,,0.46,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Edge,C., M. Gahl, D. Thompson, C. Hao, and J. Houlahan",173391,Variation in Amphibian Response to Two Formulations of Glyphosate-Based Herbicides,Environ. Toxicol. Chem.33(11): 2628-2632,2014
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Bufo americanus,American Toad,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,,Formulation,,2.2,,0,,3.8,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, G.R. Stephenson, D.G. Thompson, and H.J. Boermans",72795,Comparative Effects of pH and Vision Herbicide on Two Life Stages of Four Anuran Amphibian Species,Environ. Toxicol. Chem.23(4): 815-822,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,4,Active ingredient,,4.3,,3,,5.3,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates sylvaticus,Wood Frog,Amphibians; Standard Test Species,Tadpole,,,,,,,,Static,Fresh water,Lab,9,Active ingredient,,0.33,,0.1,,1.079,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Edge,C., M. Gahl, D. Thompson, C. Hao, and J. Houlahan",173391,Variation in Amphibian Response to Two Formulations of Glyphosate-Based Herbicides,Environ. Toxicol. Chem.33(11): 2628-2632,2014
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Lithobates pipiens,Leopard Frog,Amphibians; Standard Test Species,Larva,,25,,,,,Gosner stage,Lentic ,Fresh water,Field artificial,6,Active ingredient,,3.26,,1.66,,3.61,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Wojtaszek,B.F., B. Staznik, D.T. Chartrand, G.R. Stephenson, and D.G. Thompson",75187,"Effects of Vision Herbicide on Mortality, Avoidance Response, and Growth of Amphibian Larvae in Two Forest Wetlands",Environ. Toxicol. Chem.23(4): 832-842,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Blastula,,,,,,,,Renewal,Fresh water,Lab,5,Active ingredient,,8,,7.6,,8.3,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,96,,,,,Hour(s),,4,,,,,Day(s),"Perkins,P.J., H.J. Boermans, and G.R. Stephenson",53090,Toxicity of Glyphosate and Triclopyr Using the Frog Embryo Teratogenesis Assay - Xenopus,Environ. Toxicol. Chem.19(4): 940-945,2000
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,3,Active ingredient,,395.2,,0,,647.9,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
38641940,N-(Phosphonomethyl)glycine compd. with 2-propanamine (1:1),Xenopus laevis,African Clawed Frog,Amphibians; Standard Test Species,Embryo,,,,8,,10,Gosner stage,Renewal,Fresh water,Lab,3,Active ingredient,,3.9,,3,,4.7,ae mg/L,Mortality,Mortality,LC10,,,4,,,,,Day(s),,,,,,,,,,,,,,,"Edginton,A.N., P.M. Sheridan, H.J. Boermans, D.G. Thompson, J.D. Holt, and G.R. Stephenson",73637,"A Comparison of Two Factorial Designs, a Complete 3X3 Factorial and a Central Composite Rotatable Design, for Use in Binomial Response Experiments in Aquatic Toxicology",Arch. Environ. Contam. Toxicol.46(2): 216-223,2004
