Study,Stage,Study_Type,Pesticide ,Species,Family,Duration_h,Method,Application_Rate,Unit,Survival,M_Body_Weight_g,SD,Body_Length_mm,ExposedSkin_cm2,N_Rep,Rep,N_Exp,N_Total
Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,Bufonidae,72,Overspray,0,ug a.i./cm2,0.96,1.06,0.053,22,2.53,10,3,30,
Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,Bufonidae,72,Overspray,0.22,ug a.i./cm2,0.93,1.06,0.053,22,2.53,10,3,30,
Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,Bufonidae,72,Overspray,2.2,ug a.i./cm2,0.34,1.06,0.053,22,2.53,10,3,30,
Belden_2010,Juvenile,Lab,Pyraclostrobin_Headline,Anaxyrus cognatus,Bufonidae,72,Overspray,22,ug a.i./cm2,0,1.06,0.053,22,2.53,10,3,30,117.9
Cusaac_2016a,Juvenile_Adult,Lab,Pyraclostrobin_Headline,Acris blanchardi,Hylidae,96,Overspray,0,ug a.i./cm2,1,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016a,Juvenile_Adult,Lab,Pyraclostrobin_Headline,Acris blanchardi,Hylidae,96,Overspray,0.55,ug a.i./cm2,0.96,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016a,Juvenile_Adult,Lab,Pyraclostrobin_Headline,Acris blanchardi,Hylidae,96,Overspray,1.1,ug a.i./cm2,0.92,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016a,Juvenile_Adult,Lab,Pyraclostrobin_Headline,Acris blanchardi,Hylidae,96,Overspray,2.2,ug a.i./cm2,0.52,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016a,Juvenile_Adult,Lab,Pyraclostrobin_Headline,Acris blanchardi,Hylidae,96,Overspray,4.4,ug a.i./cm2,0.1,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016a,Juvenile_Adult,Lab,Pyraclostrobin_Headline,Acris blanchardi,Hylidae,96,Overspray,8.8,ug a.i./cm2,0.04,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016b,Juvenile_Adult,Lab,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,96,Overspray,0,ug a.i./cm2,0.93,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016b,Juvenile_Adult,Lab,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,96,Overspray,0.38,ug a.i./cm2,0.8,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016b,Juvenile_Adult,Lab,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,96,Overspray,0.76,ug a.i./cm2,0.86,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016b,Juvenile_Adult,Lab,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,96,Overspray,1.52,ug a.i./cm2,0.7,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016b,Juvenile_Adult,Lab,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,96,Overspray,3.04,ug a.i./cm2,0.5,0.49,0.025,19.4,1.97,10,3,30,
Cusaac_2016b,Juvenile_Adult,Lab,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,96,Overspray,6.08,ug a.i./cm2,0.04,0.49,0.025,19.4,1.97,10,3,30,360
Cusaac_2017a,Adult,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,1.52,ug a.i./cm3,1,0.64,0.03,83,NA,1,1,1,
Cusaac_2017a,Adult,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,2.2,ug a.i./cm2,1,0.64,0.03,83,NA,2,1,2,
Cusaac_2017a,Adult,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,7.6,ug a.i./cm2,1,0.64,0.03,83,NA,3,1,3,
Cusaac_2017a,Adult,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,11,ug a.i./cm2,0.75,0.64,0.03,83,NA,4,1,4,
Cusaac_2017a,Adult,Lab,Pyraclostrobin_Headline,Anaxyrus woodhousii ,Bufonidae,96,Overspray,1.52,ug a.i./cm3,1,0.45,0.034,77,NA,2,1,2,
Cusaac_2017a,Adult,Lab,Pyraclostrobin_Headline,Anaxyrus woodhousii ,Bufonidae,96,Overspray,2.2,ug a.i./cm2,0.5,0.45,0.034,77,NA,2,1,2,
Cusaac_2017a,Adult,Lab,Pyraclostrobin_Headline,Anaxyrus woodhousii ,Bufonidae,96,Overspray,7.6,ug a.i./cm2,1,0.45,0.034,77,NA,4,1,4,22
Cusaac_2017a,Adult,Lab,Pyraclostrobin_Headline,Anaxyrus woodhousii ,Bufonidae,96,Overspray,11,ug a.i./cm2,1,0.45,0.034,77,NA,4,1,4,
Cusaac_2017b,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,0,ug a.i./cm2,0.9,0.85,0.053,20.7,2.24,10,3,30,
Cusaac_2017b,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,0.38,ug a.i./cm2,0.93,0.85,0.053,20.7,2.24,10,3,30,
Cusaac_2017b,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,0.76,ug a.i./cm2,0.93,0.85,0.053,20.7,2.24,10,3,30,
Cusaac_2017b,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,1.52,ug a.i./cm2,0.7,0.85,0.053,20.7,2.24,10,3,30,
Cusaac_2017b,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,3.04,ug a.i./cm2,0.4,0.85,0.053,20.7,2.24,10,3,30,
Cusaac_2017b,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Overspray,6.08,ug a.i./cm2,0.17,0.85,0.053,20.7,2.24,10,3,30,180
Cusaac_2017c,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil _Tx,0,ug a.i./cm2,0.93,0.79,0.075,NA,NA,10,3,30,
Cusaac_2017c,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil _Tx,1.52,ug a.i./cm2,0.95,0.79,0.075,NA,NA,10,3,30,
Cusaac_2017c,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil _Tx,3.04,ug a.i./cm2,0.4,0.79,0.075,NA,NA,10,3,30,
Cusaac_2017c,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil _Tx,6.08,ug a.i./cm2,0.32,0.79,0.075,NA,NA,10,3,30,
Cusaac_2017d,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil_Nb,0,ug a.i./cm2,0.96,0.79,0.075,NA,NA,10,3,30,
Cusaac_2017d,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil_Nb,1.52,ug a.i./cm2,0.84,0.79,0.075,NA,NA,10,3,30,
Cusaac_2017d,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil_Nb,3.04,ug a.i./cm2,0.56,0.79,0.075,NA,NA,10,3,30,
Cusaac_2017d,Juvenile,Lab,Pyraclostrobin_AMP,Anaxyrus cognatus,Bufonidae,96,Soil_Nb,6.08,ug a.i./cm2,0.3,0.79,0.075,NA,NA,10,3,30,240
Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Anaxyrus woodhousii ,Bufonidae,48,Overspray,0,ug a.i./cm2,1,0.45,0.034,NA,NA,,,75,
Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,48,Overspray,0,ug a.i./cm2,0.75,0.49,0.025,NA,NA,,,42,
Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Anaxyrus woodhousii ,Bufonidae,48,Overspray,1.06,ug a.i./cm2,1,0.45,0.034,NA,NA,,,73,
Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,48,Overspray,1.06,ug a.i./cm2,0.93,0.49,0.025,NA,NA,,,17,
Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Anaxyrus woodhousii ,Bufonidae,48,Overspray,1.52,ug a.i./cm2,1,0.45,0.034,NA,NA,,,77,
Cusaac_2015,Juvenile,Semi-Field,Pyraclostrobin_AMP,Acris blanchardi,Hylidae,48,Overspray,1.52,ug a.i./cm2,0.97,0.49,0.025,NA,NA,,,36,
Bruhl_2013,Juvenile,Lab,Pyraclostrobin_Headline,Rana temporaria ,Ranidae,168,Overspray,0,ug a.i./cm2,0.93,0.96,0.25,21,2.31,10,4,40,
Bruhl_2013,Juvenile,Lab,Pyraclostrobin_Headline,Rana temporaria ,Ranidae,168,Overspray,0.22,ug a.i./cm2,1,0.84,0.19,21,2.31,5,1,5,
Bruhl_2013,Juvenile,Lab,Pyraclostrobin_Headline,Rana temporaria ,Ranidae,168,Overspray,2.2,ug a.i./cm2,0,1.02,0.25,21,2.31,3,1,3,48
